"","Condition","condition","8","11"
"Condition.5HTR","Condition","5HTR",9,32
"Condition.ADF/Cofilin","Condition","ADF/Cofilin",58,45
"Condition.Arhgef8","Condition","Arhgef8",10,39
"Condition.BMP","Condition","BMP",19,37
"Condition.Col9a1","Condition","Col9a1",16,3
"Condition.Daam","Condition","Daam",37,29
"Condition.Ddr","Condition","Ddr",14,8
"Condition.Depdc","Condition","Depdc",82,92
"Condition.Dync2h","Condition","Dync2h",24,29
"Condition.EPB4.1","Condition","EPB4.1",10,3
"Condition.Eph","Condition","Eph",45,56
"Condition.Ets","Condition","Ets",32,84
"Condition.Farp","Condition","Farp",21,31
"Condition.Fgfr","Condition","Fgfr",27,88
"Condition.Foxf","Condition","Foxf",60,39
"Condition.FZD","Condition","FZD",24,33
"Condition.Gata","Condition","Gata",26,50
"Condition.Gna-L/S","Condition","Gna-L/S",23,31
"Condition.Gna12/13","Condition","Gna12/13",23,33
"Condition.NDE","Condition","NDE",18,13
"Condition.Paxillin","Condition","Paxillin",45,36
"Condition.Rab5","Condition","Rab5",34,19
"Condition.Rabep","Condition","Rabep",10,8
"Condition.Rho","Condition","Rho",28,53
"Condition.Rock","Condition","Rock",22,6
"Condition.Tol","Condition","Tol",23,34
"Condition.Tyrosinase","Condition","Tyrosinase",73,87
